Id,Label,modularity_class,degree,weighted degree,componentnumber,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
11,Valjean,1,36,158,0,0.120635,76,1,3,0.644068,0.732456,1624.4688
48,Gavroche,8,22,56,0,0.354978,82,0.995942,3,0.513514,0.605263,470.570632
55,Marius,6,19,104,0,0.333333,57,0.828965,3,0.531469,0.60307,376.292593
27,Javert,7,17,47,0,0.323529,44,0.676536,3,0.517007,0.585526,154.844945
25,Thenardier,7,16,61,0,0.408333,49,0.676495,3,0.517007,0.58114,213.468481
23,Fantine,2,15,47,0,0.314286,33,0.404673,4,0.460606,0.539474,369.486942
58,Enjolras,8,15,91,0,0.609524,64,0.816259,3,0.481013,0.552632,121.277067
62,Courfeyrac,8,13,84,0,0.75641,59,0.680372,4,0.4,0.483553,15.011035
64,Bossuet,8,13,66,0,0.769231,60,0.72414,3,0.475,0.539474,87.647903
63,Bahorel,8,12,39,0,0.863636,57,0.643606,4,0.393782,0.472588,6.228642
65,Joly,8,12,43,0,0.863636,57,0.643606,4,0.393782,0.472588,6.228642
24,MmeThenardier,7,11,34,0,0.490909,27,0.463376,4,0.460606,0.520833,82.656893
26,Cosette,6,11,68,0,0.381818,21,0.420949,4,0.477987,0.533991,67.819322
41,Eponine,7,11,19,0,0.454545,25,0.477549,4,0.395833,0.470395,32.739519
57,Mabeuf,8,11,16,0,0.690909,38,0.576256,4,0.395833,0.470395,78.834524
59,Combeferre,8,11,68,0,0.927273,51,0.613121,4,0.391753,0.466009,3.562915
61,Feuilly,8,11,38,0,0.927273,51,0.613121,4,0.391753,0.466009,3.562915
0,Myriel,0,10,31,0,0.066667,3,0.125898,4,0.429379,0.491228,504
66,Grantaire,8,10,16,0,0.933333,42,0.536782,4,0.358491,0.432018,0.428571
68,Gueulemer,7,10,25,0,0.8,36,0.517994,3,0.463415,0.517544,14.137094
69,Babet,7,10,27,0,0.8,36,0.517994,3,0.463415,0.517544,14.137094
70,Claquesous,7,10,20,0,0.711111,32,0.503856,4,0.452381,0.509868,13.856142
16,Tholomyes,2,9,26,0,0.611111,22,0.225021,4,0.391753,0.457237,115.793642
60,Prouvaire,8,9,19,0,1,36,0.506297,4,0.356808,0.425439,0
71,Montparnasse,7,9,12,0,0.833333,30,0.481269,3,0.457831,0.508772,11.040415
29,Bamatabois,3,8,11,0,0.642857,18,0.267659,4,0.426966,0.480263,22.916667
17,Listolier,2,7,24,0,1,21,0.127578,5,0.340807,0.396272,0
18,Fameuil,2,7,24,0,1,21,0.127578,5,0.340807,0.396272,0
19,Blacheville,2,7,25,0,1,21,0.127578,5,0.340807,0.396272,0
20,Favourite,2,7,26,0,1,21,0.127578,5,0.340807,0.396272,0
21,Dahlia,2,7,25,0,1,21,0.127578,5,0.340807,0.396272,0
22,Zephine,2,7,24,0,1,21,0.127578,5,0.340807,0.396272,0
